URL Links,Department Initials,Title,Catalog Page
https://www.utdallas.edu/fact-sheets/jsom/phd-management-science/,jsom,Doctor of Philosophy in Management Science,http://catalog.utdallas.edu/now/graduate/programs/jsom/phd#management-science-phd
https://www.utdallas.edu/fact-sheets/jsom/ms-marketing/,jsom,Master of Science in Marketing,http://catalog.utdallas.edu/now/graduate/programs/jsom/marketing
https://www.utdallas.edu/fact-sheets/jsom/mba/,jsom,Master of Business Administration,http://catalog.utdallas.edu/now/graduate/programs/jsom/business-administration
https://www.utdallas.edu/fact-sheets/ecs/ms-materials-science-and-engineering/,ecs,Master of Science in Materials Science and Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/materials-science#master-of-science-in-materials-science-and-engineering
https://www.utdallas.edu/fact-sheets/ecs/phd-materials-science-and-engineering/,ecs,Doctor of Philosophy in Materials Science and Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/materials-science
https://www.utdallas.edu/fact-sheets/nsm/ms-mathematics/,nsm,Master of Science in Mathematics,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#master-of-science-in-mathematics
https://www.utdallas.edu/fact-sheets/nsm/phd-mathematics/,nsm,Doctor of Philosophy in Mathematics,https://catalog.utdallas.edu/2018/graduate/programs/nsm/mathematics#doctor-of-philosophy-in-mathematics
https://www.utdallas.edu/fact-sheets/nsm/mat/,nsm,Master of Arts in Teaching in Mathematics Education,https://catalog.utdallas.edu/now/graduate/programs/nsm/science-and-mathematics-education
https://www.utdallas.edu/fact-sheets/ecs/ms-mechanical-engineering/,ecs,Master of Science in Mechanical Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/mechanical-engineering#master-of-science-in-mechanical-engineering
https://www.utdallas.edu/fact-sheets/ecs/phd-mechanical-engineering/,ecs,Doctor of Philosophy in Mechanical Engineering,https://catalog.utdallas.edu/2018/graduate/programs/ecs/mechanical-engineering#doctor-of-philosophy-in-mechanical-engineering
https://www.utdallas.edu/fact-sheets/nsm/ms-molecular-and-cell-biology/,nsm,Master of Science in Molecular and Cell Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#master-of-science-in-molecular-and-cell-biology
https://www.utdallas.edu/fact-sheets/nsm/phd-molecular-and-cell-biology/,nsm,Doctor of Philosophy in Molecular and Cell Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#molecular-and-cell-biology-phd
https://www.utdallas.edu/fact-sheets/nsm/ms-physics/,nsm,Master of Science in Physics,https://catalog.utdallas.edu/now/graduate/programs/nsm/physics#master-of-science-in-physics
https://www.utdallas.edu/fact-sheets/nsm/phd-physics/,nsm,Doctor of Philosophy in Physics,https://catalog.utdallas.edu/now/graduate/programs/nsm/physics#doctor-of-philosophy-in-physics
https://www.utdallas.edu/fact-sheets/epps/ma-political-science/,epps,Master of Arts in Political Science,https://catalog.utdallas.edu/now/graduate/programs/epps/political-science#master-of-arts-in-political-science
https://www.utdallas.edu/fact-sheets/epps/phd-political-science/,epps,Doctor of Philosophy in Political Science,https://catalog.utdallas.edu/now/graduate/programs/epps/political-science#doctor-of-philosophy-in-political-science
https://www.utdallas.edu/fact-sheets/bbs/ms-psychology/,bbs,Master of Science in Psychology,https://catalog.utdallas.edu/now/graduate/programs/bbs/psychology
https://www.utdallas.edu/fact-sheets/bbs/phd-psychology/,bbs,Doctor of Philosophy in Psychology,http://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs
https://www.utdallas.edu/fact-sheets/epps/mpa/,epps,Master of Public Affairs,https://catalog.utdallas.edu/now/graduate/programs/epps/public-affairs#master-of-public-affairs
https://www.utdallas.edu/fact-sheets/epps/phd-public-affairs/,epps,Doctor of Philosophy in Public Affairs,https://catalog.utdallas.edu/now/graduate/programs/epps/public-affairs#public-affairs-phd
