URL Links,Department Initials,Title,Catalog Page,Course File Name
https://www.utdallas.edu/fact-sheets/jsom/ms-healthcare-leadership-and-management/,jsom,Master of Science in Healthcare Leadership and Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/healthcare-management,courses/Master of Science in Healthcare Leadership and Management.csv
https://www.utdallas.edu/fact-sheets/ah/ma-history/,ah,Master of Arts in History,https://catalog.utdallas.edu/now/graduate/programs/ah/history,courses/Master of Arts in History.csv
https://www.utdallas.edu/fact-sheets/ah/ma-history-of-ideas/,ah,Master of Arts in History of Ideas,https://catalog.utdallas.edu/2021/graduate/programs/ah/history-of-ideas#overview,courses/Master of Arts in History of Ideas.csv
https://www.utdallas.edu/fact-sheets/ah/phd-history-of-ideas/,ah,Doctor of Philosophy in History of Ideas,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd,courses/Doctor of Philosophy in History of Ideas.csv
https://www.utdallas.edu/fact-sheets/bbs/ms-human-development-and-early-childhood-disorders/,bbs,Master of Science in Human Development and Early Childhood Disorders,https://catalog.utdallas.edu/now/graduate/programs/bbs/human-development-and-early-childhood-disorders,courses/Master of Science in Human Development and Early Childhood Disorders.csv
https://www.utdallas.edu/fact-sheets/ah/ma-humanities/,ah,Master of Arts in Humanities,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-ma,courses/Master of Arts in Humanities.csv
https://www.utdallas.edu/fact-sheets/ah/phd-humanities/,ah,Doctor of Philosophy in Humanities,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd,courses/Doctor of Philosophy in Humanities.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-information-technology-and-management/,jsom,Master of Science in Information Technology and Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/information-technology-management,courses/Master of Science in Information Technology and Management.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-innovation-and-entrepreneurship/,jsom,Master of Science in Innovation and Entrepreneurship,http://catalog.utdallas.edu/now/graduate/programs/jsom/innovation-entrepreneurship,courses/Master of Science in Innovation and Entrepreneurship.csv
https://www.utdallas.edu/fact-sheets/is/ma-interdisciplinary-studies/,is,Master of Arts in Interdisciplinary Studies,http://catalog.utdallas.edu/now/graduate/programs/is,courses/Master of Arts in Interdisciplinary Studies.csv
